t	protein
14.600000000000001	1.222854038543029
14.65	1.2311581679265406
14.700000000000001	1.2395940343999694
14.75	1.2481601925210226
14.8	1.2568551745226058
14.850000000000001	1.2656774905643147
14.9	1.2746256289877125
14.950000000000001	1.283698056575346
15.0	1.292893218813452
15.05	1.3022095401583202
15.100000000000001	1.3116454243062463
15.15	1.321199254467058
15.200000000000001	1.3308693936411415
15.25	1.340654184899931
15.3	1.3505519516698166
15.350000000000001	1.3605609980194155
15.4	1.370679608950163
15.450000000000001	1.3809060506901663
15.5	1.3912385709912791
15.55	1.4016753994293407
15.600000000000001	1.4122147477075275
15.65	1.4228548099627663
15.700000000000001	1.4335937630751672
15.75	1.4444297669803978
15.8	1.455360964984973
15.850000000000001	1.4663854840843886
15.9	1.4775014352840508
15.950000000000001	1.488706913922948
16.0	1.4999999999999996
16.05	1.5113787585030447
16.1	1.5228412397403912
16.150000000000002	1.534385479674889
16.2	1.546009500260453
16.25	1.5577113097809987
16.3	1.5694889031917048
16.35	1.581340262462572
16.400000000000002	1.5932633569241998
16.45	1.6052561436157329
16.5	1.6173165676349104
16.55	1.629442562490164
16.6	1.6416320504547002
16.650000000000002	1.6538829429225075
16.7	1.6661931407662287
16.75	1.6785605346968382
16.8	1.6909830056250525
16.85	1.7034584250244298
16.900000000000002	1.7159846552960782
16.95	1.728559550134925
17.0	1.7411809548974793
17.05	1.753846706971007
17.1	1.766554636144095
17.150000000000002	1.7793025649784993
17.2	1.7920883091822402
17.25	1.8049096779838714
17.3	1.8177644745078523
17.35	1.830650496150975
17.400000000000002	1.843565534959769
17.45	1.8565073780088206
17.5	1.8694738077799484
17.55	1.8824626025421625
17.6	1.8954715367323467
17.650000000000002	1.9084983813365979
17.7	1.9215409042721545
17.75	1.9345968707698573
17.8	1.9476640437570565
17.85	1.9607401842409318
17.900000000000002	1.9738230516921274
17.95	1.9869104044286554
18.0	1.9999999999999998
18.05	2.013089595571344
18.1	2.026176948307873
18.150000000000002	2.0392598157590696
18.2	2.052335956242943
18.25	2.0654031292301425
18.3	2.0784590957278453
18.35	2.091501618663403
18.400000000000002	2.1045284632676537
18.45	2.1175373974578373
18.5	2.130526192220051
18.55	2.143492621991179
18.6	2.1564344650402307
18.650000000000002	2.1693495038490247
18.7	2.1822355254921475
18.75	2.1950903220161284
18.8	2.2079116908177596
18.85	2.2206974350215014
18.900000000000002	2.2334453638559055
18.95	2.2461532930289927
19.0	2.2588190451025203
19.05	2.2714404498650747
19.1	2.2840153447039233
19.150000000000002	2.2965415749755715
19.200000000000003	2.309016994374948
19.25	2.3214394653031616
19.3	2.333806859233771
19.35	2.346117057077493
19.400000000000002	2.3583679495453005
19.450000000000003	2.370557437509837
19.5	2.382683432365089
19.55	2.3947438563842667
19.6	2.4067366430758006
19.650000000000002	2.4186597375374284
19.700000000000003	2.4305110968082957
19.75	2.442288690219001
19.8	2.4539904997395467
19.85	2.4656145203251114
19.900000000000002	2.4771587602596083
19.950000000000003	2.488621241496955
20.0	2.5
20.05	2.5112930860770524
20.1	2.5224985647159492
20.150000000000002	2.5336145159156116
20.200000000000003	2.5446390350150274
20.25	2.5555702330196017
20.3	2.5664062369248333
20.35	2.577145190037234
20.400000000000002	2.587785252292474
20.450000000000003	2.5983246005706597
20.5	2.60876142900872
20.55	2.6190939493098337
20.6	2.629320391049838
20.650000000000002	2.639439001980585
20.700000000000003	2.6494480483301848
20.75	2.6593458151000693
20.8	2.669130606358858
20.85	2.678800745532942
20.900000000000002	2.6883545756937535
20.950000000000003	2.6977904598416806
21.0	2.7071067811865475
21.05	2.716301943424654
21.1	2.7253743710122875
21.150000000000002	2.734322509435686
21.200000000000003	2.743144825477394
21.25	2.7518398074789774
21.3	2.760405965600031
21.35	2.7688418320734596
21.400000000000002	2.777145961456971
21.450000000000003	2.7853169308807453
21.5	2.793353340291235
21.55	2.801253812691061
21.6	2.8090169943749475
21.650000000000002	2.8166415551616795
21.700000000000003	2.8241261886220164
21.75	2.831469612302545
21.8	2.838670567945424
21.85	2.845727821703974
21.900000000000002	2.852640164354092
21.950000000000003	2.8594064115014532
22.0	2.8660254037844384
22.05	2.872496007072797
22.1	2.8788171126619657
22.150000000000002	2.8849876374630417
22.200000000000003	2.8910065241883682
22.25	2.8968727415326883
22.3	2.9025852843498607
22.35	2.9081431738250814
22.400000000000002	2.913545457642601
22.450000000000003	2.9187912101488984
22.5	2.923879532511287
22.55	2.928809552871924
22.6	2.933580426497202
22.650000000000002	2.9381913359224843
22.700000000000003	2.9426414910921785
22.75	2.9469301294951054
22.8	2.9510565162951536
22.85	2.9550199444571867
22.900000000000002	2.958819734868193
22.950000000000003	2.962455236453647
23.0	2.965925826289068
23.05	2.9692309097067544
23.1	2.9723699203976763
23.150000000000002	2.9753423205085126
23.200000000000003	2.9781476007338057
23.25	2.9807852804032304
23.3	2.9832549075639543
23.35	2.985556059058078
23.400000000000002	2.9876883405951378
23.450000000000003	2.9896513868196704
23.5	2.9914448613738105
23.55	2.9930684569549264
23.6	2.9945218953682735
23.650000000000002	2.9958049275746617
23.700000000000003	2.996917333733128
23.75	2.9978589232386037
23.8	2.9986295347545737
23.85	2.999229036240723
23.900000000000002	2.999657324975557
23.950000000000003	2.999914327574007
24.0	3.0
